"ids" "gender" "prestige" "research_type" "subject"
714 NA "low prestige" "qualitative" 24
715 0 "low prestige" "mixed" 3
716 NA "low prestige" "qualitative" 8
717 0 "low prestige" "quantitative" 21
718 0 "low prestige" "quantitative" 24
719 0 "low prestige" "quantitative" 20
720 NA "low prestige" "qualitative" 7
721 NA "low prestige" "quantitative" 20
722 1 "low prestige" "quantitative" 21
723 1 "low prestige" "quantitative" 21
724 0 "low prestige" "mixed" 21
725 NA "low prestige" "quantitative" 20
726 NA "low prestige" "quantitative" 19
727 1 "low prestige" "qualitative" 16
728 NA "low prestige" "quantitative" 21
729 0 "low prestige" "quantitative" 3
730 1 "low prestige" "quantitative" 21
731 NA "low prestige" "quantitative" 19
732 NA "low prestige" "quantitative" 21
733 NA "low prestige" "qualitative" 9
