"CASEID","ALTER1","ALTER2","WEIGHT"
19850317,3,5,2
19850317,4,5,2
19850318,1,2,1
19850318,1,3,1
19850318,2,3,1
19850319,1,2,2
19850319,1,4,1
19850319,2,4,1
19850319,3,5,2
19850320,1,2,2
19850320,1,3,2
19850320,1,4,2
19850320,1,5,2
19850320,2,3,2
19850320,2,4,2
19850320,2,5,2
19850320,3,4,2
19850320,3,5,2
19850320,4,5,2
19850321,1,2,2
19850321,1,3,1
19850321,1,4,2
19850321,1,5,2
19850321,2,3,2
19850321,2,4,2
19850321,2,5,2
19850321,3,4,2
19850321,3,5,2
19850321,4,5,1
19850322,1,2,2
19850322,1,3,2
19850322,1,4,2
19850322,1,5,2
19850322,2,3,2
19850322,2,4,2
19850322,3,4,2
19850322,3,5,2
19850322,4,5,2
19850323,1,2,2
19850324,1,2,2
19850324,1,3,1
19850324,2,3,1
19850325,1,2,2
19850326,1,2,2
19850326,1,3,1
19850328,1,2,2
19850328,1,3,2
19850328,2,3,2
19850329,1,2,2
19850329,1,3,2
19850329,1,4,1
19850329,1,5,1
19850329,2,3,2
19850329,2,4,1
19850329,3,4,2
19850329,3,5,2
19850331,1,2,1
19850333,1,2,1
19850333,1,3,1
19850333,2,3,2
19850334,1,2,1
19850334,1,3,1
19850334,1,5,1
19850334,2,3,2
19850334,2,4,2
19850334,2,5,2
19850334,3,4,2
19850334,3,5,1
19850334,4,5,1
19850335,1,2,2
19850335,1,3,1
19850335,1,4,1
19850335,2,3,1
19850335,2,4,1
19850335,3,4,2
19850336,1,2,2
19850337,1,2,1
19850337,1,3,1
19850337,1,4,2
19850337,3,4,2
19850338,1,2,2
19850338,1,3,1
19850338,1,4,1
19850338,2,3,1
19850338,2,4,1
19850338,3,4,1
19850339,1,2,1
19850342,1,2,1
19850342,1,3,1
19850342,2,3,1
19850343,1,2,1
19850343,1,3,1
19850343,1,4,2
19850343,1,5,2
19850343,2,3,2
19850343,2,4,1
19850343,2,5,1
19850343,3,4,1
19850343,3,5,1
19850343,4,5,1
19850344,1,2,2
19850344,1,3,2
19850344,1,4,2
19850344,2,3,2
19850344,2,4,2
19850344,3,4,2
